ultramafic,bio1,bio4,bio12,bio15,cwd,bio1^2,bio4^2,bio12^2,bio15^2,cwd^2,log(aire)
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
1,-0.796585440635681,-0.539117217063904,1.17411696910858,-1.1845166683197,-0.793299615383148,-0.79488742351532,-0.550107181072235,1.27358114719391,-1.1744532585144,-0.456718742847443,-0.478847035260934
1,-1.84585118293762,1.23971927165985,0.735542833805084,-1.1845166683197,-0.626920640468597,-1.80701398849487,1.25284433364868,0.711719870567322,-1.1744532585144,-0.448860734701157,-0.478847035260934
1,-1.63599801063538,0.851237773895264,0.825555920600891,-1.1845166683197,-0.652801811695099,-1.60649383068085,0.85270768404007,0.823111236095428,-1.1744532585144,-0.451115310192108,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
1,-1.63599801063538,0.851237773895264,0.825555920600891,-1.1845166683197,-0.652801811695099,-1.60649383068085,0.85270768404007,0.823111236095428,-1.1744532585144,-0.451115310192108,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
1,-1.21629178524017,0.319631427526474,1.01707303524017,-1.1845166683197,-0.771115779876709,-1.20259582996368,0.310937583446503,1.06685948371887,-1.1744532585144,-0.456579059362411,-0.478847035260934
1,-0.796585440635681,-0.539117217063904,1.17411696910858,-1.1845166683197,-0.793299615383148,-0.79488742351532,-0.550107181072235,1.27358114719391,-1.1744532585144,-0.456718742847443,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
1,-1.00643861293793,0.0742746666073799,1.10325562953949,-1.1845166683197,-0.793299615383148,-0.999217927455902,0.0631446614861488,1.1795402765274,-1.1744532585144,-0.456718742847443,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.478847035260934
1,-1.63599801063538,0.851237773895264,0.825555920600891,-1.1845166683197,-0.652801811695099,-1.60649383068085,0.85270768404007,0.823111236095428,-1.1744532585144,-0.451115310192108,-0.478847035260934
1,0.0428271740674973,0.0538282692432404,0.597650587558746,-0.343338161706924,-0.639861226081848,0.0319603532552719,0.0425595380365849,0.545009255409241,-0.354855537414551,-0.450035572052002,-0.478847035260934
1,-0.796585440635681,-0.539117217063904,1.17411696910858,-1.1845166683197,-0.793299615383148,-0.79488742351532,-0.550107181072235,1.27358114719391,-1.1744532585144,-0.456718742847443,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.478847035260934
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.478847035260934
0,-0.681830048561096,-0.565887629985809,1.04488492012024,-0.99007123708725,-0.833029329776764,-0.685298204421997,-0.576655983924866,1.11314451694489,-0.981559455394745,-0.428533405065536,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
1,-1.79394125938416,0.731270313262939,0.525628566741943,-0.99007123708725,-0.609870314598083,-1.77383208274841,0.730134248733521,0.481769531965256,-0.981559455394745,-0.414721727371216,-0.478847035260934
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.478847035260934
0,-0.681830048561096,-0.565887629985809,1.04488492012024,-0.99007123708725,-0.833029329776764,-0.685298204421997,-0.576655983924866,1.11314451694489,-0.981559455394745,-0.428533405065536,-0.478847035260934
0,-0.311671942472458,0.661401331424713,0.330921143293381,0.201151385903358,-0.840300500392914,-0.344898551702499,0.656363189220428,0.295769423246384,0.192068263888359,-0.770040392875671,-0.478847035260934
1,-0.796585440635681,-0.539117217063904,1.17411696910858,-1.1845166683197,-0.793299615383148,-0.79488742351532,-0.550107181072235,1.27358114719391,-1.1744532585144,-0.456718742847443,-0.478847035260934
1,-1.63599801063538,0.851237773895264,0.825555920600891,-1.1845166683197,-0.652801811695099,-1.60649383068085,0.85270768404007,0.823111236095428,-1.1744532585144,-0.451115310192108,-0.478847035260934
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.478847035260934
1,-0.796585440635681,-0.539117217063904,1.17411696910858,-1.1845166683197,-0.793299615383148,-0.79488742351532,-0.550107181072235,1.27358114719391,-1.1744532585144,-0.456718742847443,-0.478847035260934
1,-1.21629178524017,0.319631427526474,1.01707303524017,-1.1845166683197,-0.771115779876709,-1.20259582996368,0.310937583446503,1.06685948371887,-1.1744532585144,-0.456579059362411,-0.478847035260934
1,-1.63599801063538,0.851237773895264,0.825555920600891,-1.1845166683197,-0.652801811695099,-1.60649383068085,0.85270768404007,0.823111236095428,-1.1744532585144,-0.451115310192108,-0.478847035260934
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.478847035260934
1,-0.796585440635681,-0.539117217063904,1.17411696910858,-1.1845166683197,-0.793299615383148,-0.79488742351532,-0.550107181072235,1.27358114719391,-1.1744532585144,-0.456718742847443,-0.478847035260934
