"species","beta_.Intercept.","beta_ultramafic","beta_bio1","beta_bio4","beta_bio12","beta_bio15","beta_cwd","beta_.bio1.2.","beta_.bio4.2.","beta_.bio12.2.","beta_.bio15.2.","beta_.cwd.2.","beta_.log.aire..","lambda_1","lambda_2"
"Cunonia.austrocaledonica",-0.372239186092742,-1.25235363244244,1.02474753353534,-0.318583253161052,-0.908200914608142,0.275115141137709,-0.520094637276876,0.653147777152956,-0.622282659406499,-0.686336828293147,0.317693069583811,-0.723489350974199,0.250890506565432,-0.154765281981571,-0.187288171563898
"Tabernaemontana.cerifera",1.34537212789258,-0.517738177541931,0.639177496661557,-0.416116555513691,-0.396671269508163,-0.170488373771002,1.70003474058741,0.771409181851489,-0.397004844453007,-0.121831980161581,0.165358528471867,-0.249286934867673,0.26407410023968,-0.265908863869729,0.502956520663032
"Cupaniopsis.petiolulata",-0.473374380572308,-1.86955572712304,1.19912467630396,-0.0606671973236767,-0.560944004039056,0.357047026359023,-1.58069961414217,1.19298251727983,-0.398846545893615,-0.595665799797333,0.360912115672242,-0.913756184625826,0.253708448916186,-0.698608913717339,-0.567269962602351
"Tristaniopsis.capitulata",-1.11390458590763,0.0063301511927136,0.699781518432595,-0.737480931285236,-0.601453679886754,0.0539192844787895,0.361201557904392,0.57137431007411,-0.760220417507535,-1.00167607076701,0.0019236430833956,0.510312953383752,0.246578365734684,0.684156099706913,0.435309842697826
"Endiandra.sebertii",-0.737989466161872,-0.0591044571127775,0.824444525979136,-0.313718587431308,-0.402999029870446,-0.0469975104637808,0.233252651230376,0.685705609265907,-0.398091716456591,-0.280389850998206,0.164190338120311,0.194343548642497,0.265043709035152,0.640784530716139,0.928903542609559
"Flindersia.fournieri",0.121297548767065,0.566247591498285,0.980639831959387,-0.393218622918872,0.108411531480187,0.0760287872471679,0.569311553341737,0.769683251748632,-0.526765747265368,-0.675413642414628,0.138859078809262,-0.0566388297272589,0.266092886432324,-0.0172448813469729,1.06097588894615
"Pleioluma.sebertii",-1.23502642495476,0.292851070563039,0.880285230317322,-0.485728786897279,-0.143748066432011,0.02391740093974,1.47608453962244,0.807744047437239,-0.625524590987307,0.165450632159079,-0.0283227445228797,0.497306703847532,0.245979650866454,1.40609299350909,1.27676762854174
"Arillastrum.gummiferum",-0.56185545524419,0.652925649688447,0.787345331078829,-0.972483126317829,-0.798595087717723,0.00771993806791968,-0.963680452833106,0.618243157499686,-1.17026566431889,-1.92623415470219,-0.0854163499085504,0.586553882304925,0.248517581450115,0.53460161428068,1.54726419899656
"Styphelia.cymbulae",0.33381875860538,-0.17514130524691,0.574690412332995,-1.05595826925749,-1.22519177678098,-0.147136965320694,-0.534794412191154,0.158285562893673,-1.0494954469937,-0.681213527719612,0.4255331625102,0.245889735827404,0.267910539943949,0.911924323049325,0.972901820973546
"Deplanchea.speciosa",0.0747070391383202,0.0144142156470069,1.14219215239283,-0.155348731616762,-0.0416685154883572,0.0648639852485786,-0.13469566139985,0.429357038327149,-0.762375061704638,-0.360008726073743,0.0896379714694333,0.17389776429911,0.259432251173887,-0.242371765888855,1.14361226771302
"Citronella.sarmentosa",-1.01905700539863,-0.297506068800597,0.775888661351226,-0.297338882565805,-0.0679839577941322,0.120334261849472,0.733761095564487,0.752032455438975,-0.295588060222872,-0.179561455330153,0.0124451058217401,0.829395810282339,0.242443464064075,0.0540933295728884,0.191464107776783
"Garcinia.neglecta",1.52375883576872,-0.0628705510321785,0.78043492586309,-0.366736308997712,-0.401434853895371,-0.0705487344240039,0.321946557207633,0.948751275027723,-0.69313096672107,-0.433430957354609,0.331293522975677,0.859075620007099,0.268503230208562,-0.726924123304668,0.247681156761909
"Myodocarpus.fraxinifolius",-0.231539163101025,0.908464768960616,0.29553597253778,-0.988071181571736,-0.802447545838435,0.316260170656981,-1.21588527988318,0.902612779914057,-0.574725220227312,-1.24017643372852,0.361397905544717,-0.643245513219224,0.232503267023466,0.0329957407701408,0.943679139002457
"Austrobuxus.ellipticus",-1.70607025500243,-0.489790400184166,0.707542908327291,-0.226005234964676,-0.407155411554543,-0.127694638956274,0.795487499620314,0.753463331676108,-0.167428625950365,-0.417441447316367,-0.115376725772017,0.776011603246164,0.245330232405667,-0.12088693088389,0.49606904339341
"Diospyros.samoensis",1.10169467284062,0.0480771779415033,0.982853535897176,-0.713957253466547,-0.752738594087621,0.44388887462856,0.0660380481361623,0.618754236764414,-0.752379155003303,-0.252998520483361,0.304153947593285,-0.296234174151112,0.249347430576444,-0.478786992224889,-0.12926849721693
